Title,Address,38.9282119,-94.6877591,"8717 W 110th St #220, Overland Park, KS 66210, USA",Match,Google
Southampton Island,"Southampton Island, Nunavut",64.5999103,-84.1347815,"Southampton Island, Nunavut X0C, Canada",Match,Google
