Stn_Name,Lat,Long,Yr,Depth
CTD138,64.35259167,-81.181225,2019,310
CTD139,64.27168333,-81.15350833,2019,303
CTD140,64.1899,-81.12529167,2019,125
CTD141,64.10749167,-81.095375,2019,46.6
CTD142 ,64.05466667,-81.07869167,2019,76.3
CTD143,64.02203333,-81.00323333,2019,29.6
CTD144,64.1647,-80.96606667,2019,195
CTD145,64.21311667,-80.85161667,2019,329
CTD146,64.25731667,-80.74595,2019,330
CTD147,64.30125833,-80.647625,2019,337
CTD148,64.18385833,-80.3356,2019,331
CTD149,64.04603333,-79.954875,2019,320
CTD150 ,63.948625,-79.70995833,2019,324
CTD151,63.869225,-79.87295,2019,289
CTD152,63.711725,-79.71676667,2019,227
CTD153 ,63.639875,-79.40183333,2019,159
CTD154,63.55711667,-79.07936667,2019,203
CTD155,63.47905833,-78.746875,2019,150
CTD156,63.42955,-78.570425,2019,36.2
CTD157,63.43481667,-78.92601667,2019,159
CTD158,63.437325,-79.299875,2019,218
CTD159,63.45319167,-79.44470833,2019,205
CTD160,63.441675,-79.66441667,2019,195
CTD161,63.4448,-80.04155,2019,172
CTD161,63.4492,-80.41469167,2019,99
CTD162,63.45331667,-80.78405,2019,69
CTD163,63.419725,-80.99629167,2019,57
CTD164,63.35036667,-81.124925,2019,103
CTD165,63.288925,-81.25011667,2019,137
CTD166,63.22809167,-81.37395833,2019,157
CTD167,63.16756667,-81.554625,2019,193
CTD168 ,63.1065,-81.627375,2019,216
CTD169,63.04615833,-81.75258333,2019,220
CTD170,62.974175,-81.89355833,2019,200
CTD171,63.03893333,-81.93371667,2019,225
STN22,63.1191025,-81.95972167,2019,216.7
CTD172,63.19955,-82.02945833,2019,186
CTD173,63.26865833,-82.071125,2019,161
CTD174 ,63.36255833,-82.12951667,2019,119
CTD175 ,63.44373333,-82.1785,2019,103
CTD176,63.898775,-83.53705833,2019,34.6
CTD177,62.92178333,-83.76288333,2019,125
CTD178,62.94500833,-83.97543333,2019,128
CTD179,62.95828333,-84.18611667,2019,127
CTD180,62.988225,-84.39638333,2019,117
CTD181,63.01036667,-84.609075,2019,102
CTD182,63.03406667,-84.827625,2019,69
CTD183 ,63.05895,-85.03963333,2019,30.8
